Topics,Alpha,Beta,Coherence
5,0.01,0.2,0.6332098218190001
5,0.05,0.2,0.6280225817485954
5,0.1,0.2,0.6284308781661567
5,0.2,0.2,0.6209430848367596
5,0.5,0.2,0.6569419559467187
5,1.0,0.2,0.644788659013701
10,0.01,0.1,0.5832443382600146
10,0.05,0.1,0.5808886033045311
10,0.1,0.1,0.5805628030106785
10,0.2,0.1,0.5944779488300023
10,0.5,0.1,0.6188388138776549
10,1.0,0.1,0.6533911858489322
20,0.01,0.05,0.5751609996065101
20,0.05,0.05,0.5738476396599087
20,0.1,0.05,0.5732348187383194
20,0.2,0.05,0.5613988757020796
20,0.5,0.05,0.6159233463283882
20,1.0,0.05,0.6348736288013815
30,0.01,0.03333333333333333,0.5223318713542239
30,0.05,0.03333333333333333,0.5372625551335076
30,0.1,0.03333333333333333,0.5319188701208576
30,0.2,0.03333333333333333,0.5387423235417802
30,0.5,0.03333333333333333,0.5459476996815646
30,1.0,0.03333333333333333,0.5510036885053755
